City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,pushkino,56.0172,37.8667,-16.84,100,96,1.52,RU,1673213461
387,winnemucca,40.973,-117.7357,8.03,57,20,6.69,US,1673213461
388,taltal,-25.4,-70.4833,22.23,62,23,2.99,CL,1673213461
389,buta,2.7858,24.73,22.34,43,100,0.58,CD,1673213462
390,amot,59.5714,7.9877,2.09,99,100,2.18,NO,1673213462
391,glencoe,-28.1783,30.147,12.09,90,15,1.09,ZA,1673213462
392,maarianhamina,60.0973,19.9348,2.92,93,100,7.72,AX,1673213297
393,camacha,33.0833,-16.3333,16.68,82,40,3.6,PT,1673213462
394,faanui,-16.4833,-151.75,26.79,76,27,4.71,PF,1673213463
395,cerchezu,43.8167,28.1,6.27,93,9,4.89,RO,1673213463
396,ileza,61.0533,43.9002,-36.09,100,7,0.15,RU,1673213463
397,tromso,69.6496,18.957,-1.99,64,75,13.38,NO,1673213463
398,mildura,-34.2,142.15,29.31,22,36,2.62,AU,1673213463
399,sozopol,42.4167,27.7,7.19,84,0,4.27,BG,1673213179
400,bay roberts,47.5999,-53.2648,-0.37,90,100,2.5,CA,1673213463
401,zhengjiatun,43.5064,123.5064,-9.64,56,68,3.2,CN,1673213463
402,kaura namoda,12.5898,6.5779,21.18,19,100,4.33,NG,1673213464
403,kuybyshevo,47.8123,38.9073,-10.92,71,0,1.7,RU,1673213464
404,todos santos,23.45,-110.2167,23.02,71,69,4.38,MX,1673213333
405,koumac,-20.5667,164.2833,27.12,67,95,4.83,NC,1673213464
406,shimoda,34.6667,138.95,7.98,75,30,3.16,JP,1673213464
407,majene,-3.5403,118.9707,24.76,87,100,3.71,ID,1673213464
408,glendive,47.1053,-104.7125,0.79,74,0,3.6,US,1673213464
409,galveston,29.3669,-94.9669,22.24,71,2,2.24,US,1673213464
410,tilisos,35.2961,25.0159,12.83,78,40,5.14,GR,1673213465
411,kota bahru,6.1333,102.2386,23.97,94,20,0.0,MY,1673213465
412,longyearbyen,78.2186,15.6401,-4.09,68,75,3.6,SJ,1673213465
413,panama city,8.9936,-79.5197,30.97,66,40,4.12,PA,1673212842
414,kotelnikovo,47.6317,43.1461,-12.96,84,4,2.04,RU,1673213465
415,barra da estiva,-13.6261,-41.3269,19.19,90,100,1.57,BR,1673213465
416,abu kamal,34.4506,40.9171,10.84,60,59,2.44,SY,1673213465
